,Unnamed: 0,LineId,Month,Date,Time,Level,Component,PID,Content,EventId,EventTemplate
53,53,54,Jun,15,14:53:35,combo,sshd(pam_unix),23671.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,E16,authentication failure; logname= <*> uid=<*> euid=<*> tty=<*> ruser=<*> rhost=<*>
54,54,55,Jun,15,14:53:35,combo,sshd(pam_unix),23673.0,check pass; user unknown,E27,check pass; user <*>
55,55,56,Jun,15,14:53:35,combo,sshd(pam_unix),23673.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,E16,authentication failure; logname= <*> uid=<*> euid=<*> tty=<*> ruser=<*> rhost=<*>
56,56,57,Jun,15,14:53:35,combo,sshd(pam_unix),23674.0,check pass; user unknown,E27,check pass; user <*>
57,57,58,Jun,15,14:53:35,combo,sshd(pam_unix),23674.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,E16,authentication failure; logname= <*> uid=<*> euid=<*> tty=<*> ruser=<*> rhost=<*>
58,58,59,Jun,15,14:53:36,combo,sshd(pam_unix),23678.0,check pass; user unknown,E27,check pass; user <*>
59,59,60,Jun,15,14:53:36,combo,sshd(pam_unix),23678.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,E16,authentication failure; logname= <*> uid=<*> euid=<*> tty=<*> ruser=<*> rhost=<*>
60,60,61,Jun,15,14:53:36,combo,sshd(pam_unix),23677.0,check pass; user unknown,E27,check pass; user <*>
61,61,62,Jun,15,14:53:36,combo,sshd(pam_unix),23677.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,E16,authentication failure; logname= <*> uid=<*> euid=<*> tty=<*> ruser=<*> rhost=<*>
62,62,63,Jun,15,20:05:31,combo,sshd(pam_unix),24138.0,check pass; user unknown,E27,check pass; user <*>
63,63,64,Jun,15,20:05:31,combo,sshd(pam_unix),24138.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=d211-116-254-214.rev.krline.net,E16,authentication failure; logname= <*> uid=<*> euid=<*> tty=<*> ruser=<*> rhost=<*>
64,64,65,Jun,15,20:05:31,combo,sshd(pam_unix),24137.0,check pass; user unknown,E27,check pass; user <*>
65,65,66,Jun,15,20:05:31,combo,sshd(pam_unix),24137.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=d211-116-254-214.rev.krline.net,E16,authentication failure; logname= <*> uid=<*> euid=<*> tty=<*> ruser=<*> rhost=<*>
66,66,67,Jun,15,20:05:31,combo,sshd(pam_unix),24141.0,check pass; user unknown,E27,check pass; user <*>
67,67,68,Jun,15,20:05:31,combo,sshd(pam_unix),24141.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=d211-116-254-214.rev.krline.net,E16,authentication failure; logname= <*> uid=<*> euid=<*> tty=<*> ruser=<*> rhost=<*>
68,68,69,Jun,15,20:05:31,combo,sshd(pam_unix),24140.0,check pass; user unknown,E27,check pass; user <*>
69,69,70,Jun,15,20:05:31,combo,sshd(pam_unix),24140.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=d211-116-254-214.rev.krline.net,E16,authentication failure; logname= <*> uid=<*> euid=<*> tty=<*> ruser=<*> rhost=<*>
70,70,71,Jun,15,20:05:31,combo,sshd(pam_unix),24139.0,check pass; user unknown,E27,check pass; user <*>
71,71,72,Jun,15,20:05:31,combo,sshd(pam_unix),24139.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=d211-116-254-214.rev.krline.net,E16,authentication failure; logname= <*> uid=<*> euid=<*> tty=<*> ruser=<*> rhost=<*>
72,72,73,Jun,16,04:10:22,combo,su(pam_unix),25178.0,session opened for user cyrus by (uid=0),E102,session opened for user <*> by (uid=<*>)
73,73,74,Jun,16,04:10:23,combo,su(pam_unix),25178.0,session closed for user cyrus,E101,session closed for user <*>
74,74,75,Jun,16,04:10:24,combo,logrotate,,ALERT exited abnormally with [1],E8,ALERT exited abnormally with [<*>]
75,75,76,Jun,16,04:16:17,combo,su(pam_unix),25548.0,session opened for user news by (uid=0),E102,session opened for user <*> by (uid=<*>)
76,76,77,Jun,16,04:16:18,combo,su(pam_unix),25548.0,session closed for user news,E101,session closed for user <*>
77,77,78,Jun,17,04:03:33,combo,su(pam_unix),27953.0,session opened for user cyrus by (uid=0),E102,session opened for user <*> by (uid=<*>)
78,78,79,Jun,17,04:03:34,combo,su(pam_unix),27953.0,session closed for user cyrus,E101,session closed for user <*>
79,79,80,Jun,17,04:03:36,combo,logrotate,,ALERT exited abnormally with [1],E8,ALERT exited abnormally with [<*>]
80,80,81,Jun,17,04:09:43,combo,su(pam_unix),29190.0,session opened for user news by (uid=0),E102,session opened for user <*> by (uid=<*>)
81,81,82,Jun,17,04:09:45,combo,su(pam_unix),29190.0,session closed for user news,E101,session closed for user <*>
82,82,83,Jun,17,07:07:00,combo,ftpd,29504.0,connection from 24.54.76.216 (24-54-76-216.bflony.adelphia.net) at Fri Jun 17 07:07:00 2005,E29,connection from <*> (<*>) at <*>
83,83,84,Jun,17,07:07:00,combo,ftpd,29508.0,connection from 24.54.76.216 (24-54-76-216.bflony.adelphia.net) at Fri Jun 17 07:07:00 2005,E29,connection from <*> (<*>) at <*>
84,84,85,Jun,17,07:07:00,combo,ftpd,29507.0,connection from 24.54.76.216 (24-54-76-216.bflony.adelphia.net) at Fri Jun 17 07:07:00 2005,E29,connection from <*> (<*>) at <*>
85,85,86,Jun,17,07:07:00,combo,ftpd,29505.0,connection from 24.54.76.216 (24-54-76-216.bflony.adelphia.net) at Fri Jun 17 07:07:00 2005,E29,connection from <*> (<*>) at <*>
86,86,87,Jun,17,07:07:00,combo,ftpd,29506.0,connection from 24.54.76.216 (24-54-76-216.bflony.adelphia.net) at Fri Jun 17 07:07:00 2005,E29,connection from <*> (<*>) at <*>
87,87,88,Jun,17,07:07:00,combo,ftpd,29509.0,connection from 24.54.76.216 (24-54-76-216.bflony.adelphia.net) at Fri Jun 17 07:07:00 2005,E29,connection from <*> (<*>) at <*>
88,88,89,Jun,17,07:07:02,combo,ftpd,29510.0,connection from 24.54.76.216 (24-54-76-216.bflony.adelphia.net) at Fri Jun 17 07:07:02 2005,E29,connection from <*> (<*>) at <*>
89,89,90,Jun,17,07:07:04,combo,ftpd,29511.0,connection from 24.54.76.216 (24-54-76-216.bflony.adelphia.net) at Fri Jun 17 07:07:04 2005,E29,connection from <*> (<*>) at <*>
90,90,91,Jun,17,19:43:13,combo,sshd(pam_unix),30565.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=211.46.224.253  user=guest,E17,authentication failure; logname= <*> uid=<*> euid=<*> tty=<*> ruser=<*> rhost=<*> user=<*>
91,91,92,Jun,17,20:29:26,combo,sshd(pam_unix),30631.0,session opened for user test by (uid=509),E102,session opened for user <*> by (uid=<*>)
92,92,93,Jun,17,20:34:57,combo,sshd(pam_unix),30631.0,session closed for user test,E101,session closed for user <*>
93,93,94,Jun,17,20:55:06,combo,ftpd,30755.0,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Fri Jun 17 20:55:06 2005,E29,connection from <*> (<*>) at <*>
94,94,95,Jun,17,20:55:06,combo,ftpd,30754.0,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Fri Jun 17 20:55:06 2005,E29,connection from <*> (<*>) at <*>
95,95,96,Jun,17,20:55:06,combo,ftpd,30753.0,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Fri Jun 17 20:55:06 2005,E29,connection from <*> (<*>) at <*>
96,96,97,Jun,17,20:55:06,combo,ftpd,30756.0,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Fri Jun 17 20:55:06 2005,E29,connection from <*> (<*>) at <*>
97,97,98,Jun,17,20:55:06,combo,ftpd,30757.0,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Fri Jun 17 20:55:06 2005,E29,connection from <*> (<*>) at <*>
98,98,99,Jun,17,20:55:07,combo,ftpd,30758.0,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Fri Jun 17 20:55:07 2005,E29,connection from <*> (<*>) at <*>
99,99,100,Jun,17,20:55:07,combo,ftpd,30759.0,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Fri Jun 17 20:55:07 2005,E29,connection from <*> (<*>) at <*>
100,100,101,Jun,18,01:30:59,combo,sshd(pam_unix),31201.0,check pass; user unknown,E27,check pass; user <*>
101,101,102,Jun,18,01:30:59,combo,sshd(pam_unix),31201.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net,E16,authentication failure; logname= <*> uid=<*> euid=<*> tty=<*> ruser=<*> rhost=<*>
102,102,103,Jun,18,01:30:59,combo,sshd(pam_unix),31199.0,check pass; user unknown,E27,check pass; user <*>
103,103,104,Jun,18,01:30:59,combo,sshd(pam_unix),31199.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net,E16,authentication failure; logname= <*> uid=<*> euid=<*> tty=<*> ruser=<*> rhost=<*>
104,104,105,Jun,18,01:30:59,combo,sshd(pam_unix),31198.0,check pass; user unknown,E27,check pass; user <*>
105,105,106,Jun,18,01:30:59,combo,sshd(pam_unix),31198.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net,E16,authentication failure; logname= <*> uid=<*> euid=<*> tty=<*> ruser=<*> rhost=<*>
106,106,107,Jun,18,01:30:59,combo,sshd(pam_unix),31202.0,check pass; user unknown,E27,check pass; user <*>
107,107,108,Jun,18,01:30:59,combo,sshd(pam_unix),31202.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net,E16,authentication failure; logname= <*> uid=<*> euid=<*> tty=<*> ruser=<*> rhost=<*>
108,108,109,Jun,18,01:30:59,combo,sshd(pam_unix),31205.0,check pass; user unknown,E27,check pass; user <*>
109,109,110,Jun,18,01:30:59,combo,sshd(pam_unix),31205.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net,E16,authentication failure; logname= <*> uid=<*> euid=<*> tty=<*> ruser=<*> rhost=<*>
110,110,111,Jun,18,01:30:59,combo,sshd(pam_unix),31200.0,check pass; user unknown,E27,check pass; user <*>
111,111,112,Jun,18,01:30:59,combo,sshd(pam_unix),31200.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net,E16,authentication failure; logname= <*> uid=<*> euid=<*> tty=<*> ruser=<*> rhost=<*>
112,112,113,Jun,18,01:30:59,combo,sshd(pam_unix),31206.0,check pass; user unknown,E27,check pass; user <*>
113,113,114,Jun,18,01:30:59,combo,sshd(pam_unix),31206.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net,E16,authentication failure; logname= <*> uid=<*> euid=<*> tty=<*> ruser=<*> rhost=<*>
114,114,115,Jun,18,01:30:59,combo,sshd(pam_unix),31204.0,check pass; user unknown,E27,check pass; user <*>
115,115,116,Jun,18,01:30:59,combo,sshd(pam_unix),31204.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net,E16,authentication failure; logname= <*> uid=<*> euid=<*> tty=<*> ruser=<*> rhost=<*>
116,116,117,Jun,18,01:30:59,combo,sshd(pam_unix),31203.0,check pass; user unknown,E27,check pass; user <*>
117,117,118,Jun,18,01:30:59,combo,sshd(pam_unix),31203.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net,E16,authentication failure; logname= <*> uid=<*> euid=<*> tty=<*> ruser=<*> rhost=<*>
118,118,119,Jun,18,01:30:59,combo,sshd(pam_unix),31207.0,check pass; user unknown,E27,check pass; user <*>
119,119,120,Jun,18,01:30:59,combo,sshd(pam_unix),31207.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net,E16,authentication failure; logname= <*> uid=<*> euid=<*> tty=<*> ruser=<*> rhost=<*>
120,120,121,Jun,18,02:08:10,combo,ftpd,31272.0,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:10 2005,E29,connection from <*> (<*>) at <*>
121,121,122,Jun,18,02:08:10,combo,ftpd,31273.0,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:10 2005,E29,connection from <*> (<*>) at <*>
122,122,123,Jun,18,02:08:10,combo,ftpd,31274.0,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:10 2005,E29,connection from <*> (<*>) at <*>
123,123,124,Jun,18,02:08:10,combo,ftpd,31275.0,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:10 2005,E29,connection from <*> (<*>) at <*>
124,124,125,Jun,18,02:08:10,combo,ftpd,31276.0,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:10 2005,E29,connection from <*> (<*>) at <*>
125,125,126,Jun,18,02:08:10,combo,ftpd,31277.0,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:10 2005,E29,connection from <*> (<*>) at <*>
126,126,127,Jun,18,02:08:10,combo,ftpd,31278.0,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:10 2005,E29,connection from <*> (<*>) at <*>
127,127,128,Jun,18,02:08:11,combo,ftpd,31279.0,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:11 2005,E29,connection from <*> (<*>) at <*>
128,128,129,Jun,18,02:08:11,combo,ftpd,31280.0,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:11 2005,E29,connection from <*> (<*>) at <*>
129,129,130,Jun,18,02:08:11,combo,ftpd,31281.0,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:11 2005,E29,connection from <*> (<*>) at <*>
130,130,131,Jun,18,02:08:11,combo,ftpd,31282.0,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:11 2005,E29,connection from <*> (<*>) at <*>
131,131,132,Jun,18,02:08:11,combo,ftpd,31283.0,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:11 2005,E29,connection from <*> (<*>) at <*>
132,132,133,Jun,18,02:08:12,combo,ftpd,31284.0,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:12 2005,E29,connection from <*> (<*>) at <*>
133,133,134,Jun,18,02:08:12,combo,ftpd,31285.0,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:12 2005,E29,connection from <*> (<*>) at <*>
134,134,135,Jun,18,02:08:12,combo,ftpd,31286.0,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:12 2005,E29,connection from <*> (<*>) at <*>
135,135,136,Jun,18,02:23:10,combo,ftpd,31277.0,User unknown timed out after 900 seconds at Sat Jun 18 02:23:10 2005,E112,User <*> timed out after <*> seconds at <*>
136,136,137,Jun,18,04:07:05,combo,su(pam_unix),31791.0,session opened for user cyrus by (uid=0),E102,session opened for user <*> by (uid=<*>)
137,137,138,Jun,18,04:07:06,combo,su(pam_unix),31791.0,session closed for user cyrus,E101,session closed for user <*>
138,138,139,Jun,18,04:07:06,combo,logrotate,,ALERT exited abnormally with [1],E8,ALERT exited abnormally with [<*>]
139,139,140,Jun,18,04:12:42,combo,su(pam_unix),32164.0,session opened for user news by (uid=0),E102,session opened for user <*> by (uid=<*>)
140,140,141,Jun,18,04:12:43,combo,su(pam_unix),32164.0,session closed for user news,E101,session closed for user <*>
141,141,142,Jun,19,04:08:55,combo,su(pam_unix),2192.0,session opened for user cyrus by (uid=0),E102,session opened for user <*> by (uid=<*>)
